Başlangıç Sıcaklığı (Kelvin)  Bitiş Sıcaklığı (Kelvin)      Gerekli Enerji Miktarı (Joule)
496                           497                           4.113519e+05                  
497                           498                           4.114568e+05                  
498                           499                           4.115615e+05                  
499                           500                           4.116661e+05                  
500                           501                           4.117705e+05                  
501                           502                           4.118748e+05                  
502                           503                           4.119790e+05                  
503                           504                           4.120830e+05                  
504                           505                           4.121869e+05                  
505                           506                           4.122907e+05                  
506                           507                           4.123943e+05                  
507                           508                           4.124979e+05                  
508                           509                           4.126012e+05                  
509                           510                           4.127045e+05                  
510                           511                           4.128076e+05                  
511                           512                           4.129107e+05                  
512                           513                           4.130135e+05                  
513                           514                           4.131163e+05                  
514                           515                           4.132189e+05                  
515                           516                           4.133215e+05                  
516                           517                           4.134239e+05                  
517                           518                           4.135262e+05                  
518                           519                           4.136283e+05                  
519                           520                           4.137304e+05                  
520                           521                           4.138323e+05                  
521                           522                           4.139341e+05                  
522                           523                           4.140358e+05                  
523                           524                           4.141374e+05                  
524                           525                           4.142389e+05                  
525                           526                           4.143403e+05                  
526                           527                           4.144415e+05                  
527                           528                           4.145427e+05                  
528                           529                           4.146437e+05                  
529                           530                           4.147447e+05                  
530                           531                           4.148455e+05                  
531                           532                           4.149462e+05                  
532                           533                           4.150469e+05                  
533                           534                           4.151474e+05                  
534                           535                           4.152478e+05                  
535                           536                           4.153481e+05                  
536                           537                           4.154484e+05                  
537                           538                           4.155485e+05                  
538                           539                           4.156485e+05                  
539                           540                           4.157484e+05                  
540                           541                           4.158483e+05                  
541                           542                           4.159480e+05                  
542                           543                           4.160476e+05                  
543                           544                           4.161472e+05                  
544                           545                           4.162466e+05                  
545                           546                           4.163460e+05                  
546                           547                           4.164453e+05                  
547                           548                           4.165444e+05                  
548                           549                           4.166435e+05                  
549                           550                           4.167425e+05                  
550                           551                           4.168414e+05                  
551                           552                           4.169403e+05                  
552                           553                           4.170390e+05                  
553                           554                           4.171376e+05                  
554                           555                           4.172362e+05                  
555                           556                           4.173347e+05                  
556                           557                           4.174331e+05                  
557                           558                           4.175314e+05                  
558                           559                           4.176296e+05                  
559                           560                           4.177278e+05                  
560                           561                           4.178259e+05                  
561                           562                           4.179238e+05                  
562                           563                           4.180218e+05                  
563                           564                           4.181196e+05                  
564                           565                           4.182174e+05                  
565                           566                           4.183150e+05                  
566                           567                           4.184126e+05                  
567                           568                           4.185102e+05                  
568                           569                           4.186076e+05                  
569                           570                           4.187050e+05                  
570                           571                           4.188023e+05                  
571                           572                           4.188995e+05                  
572                           573                           4.189967e+05                  
573                           574                           4.190938e+05                  
574                           575                           4.191908e+05                  
575                           576                           4.192878e+05                  
576                           577                           4.193847e+05                  
577                           578                           4.194815e+05                  
578                           579                           4.195782e+05                  
579                           580                           4.196749e+05                  
580                           581                           4.197715e+05                  
581                           582                           4.198681e+05                  
582                           583                           4.199645e+05                  
583                           584                           4.200610e+05                  
584                           585                           4.201573e+05                  
585                           586                           4.202536e+05                  
586                           587                           4.203498e+05                  
587                           588                           4.204460e+05                  
588                           589                           4.205421e+05                  
589                           590                           4.206381e+05                  
590                           591                           4.207341e+05                  
591                           592                           4.208301e+05                  
592                           593                           4.209259e+05                  
593                           594                           4.210217e+05                  
594                           595                           4.211175e+05                  
595                           596                           4.212132e+05                  
596                           597                           4.213088e+05                  
597                           598                           4.214044e+05                  
598                           599                           4.214999e+05                  
599                           600                           4.215954e+05                  
600                           601                           4.216908e+05                  
601                           602                           4.217862e+05                  
602                           603                           4.218815e+05                  
603                           604                           4.219768e+05                  
604                           605                           4.220720e+05                  
605                           606                           4.221671e+05                  
606                           607                           4.222622e+05                  
607                           608                           4.223573e+05                  
608                           609                           4.224523e+05                  
609                           610                           4.225473e+05                  
610                           611                           4.226422e+05                  
611                           612                           4.227370e+05                  
612                           613                           4.228318e+05                  
613                           614                           4.229266e+05                  
614                           615                           4.230213e+05                  
615                           616                           4.231160e+05                  
616                           617                           4.232106e+05                  
617                           618                           4.233052e+05                  
618                           619                           4.233998e+05                  
619                           620                           4.234943e+05                  
620                           621                           4.235887e+05                  
621                           622                           4.236831e+05                  
622                           623                           4.237775e+05                  
623                           624                           4.238718e+05                  
624                           625                           4.239661e+05                  
625                           626                           4.240604e+05                  
626                           627                           4.241546e+05                  
627                           628                           4.242487e+05                  
628                           629                           4.243429e+05                  
629                           630                           4.244370e+05                  
630                           631                           4.245310e+05                  
631                           632                           4.246250e+05                  
632                           633                           4.247190e+05                  
633                           634                           4.248130e+05                  
634                           635                           4.249069e+05                  
635                           636                           4.250007e+05                  
636                           637                           4.250946e+05                  
637                           638                           4.251884e+05                  
638                           639                           4.252821e+05                  
639                           640                           4.253759e+05                  
640                           641                           4.254696e+05                  
641                           642                           4.255632e+05                  
642                           643                           4.256569e+05                  
643                           644                           4.257505e+05                  
644                           645                           4.258441e+05                  
645                           646                           4.259376e+05                  
646                           647                           4.260311e+05                  
647                           648                           4.261246e+05                  
648                           649                           4.262180e+05                  
649                           650                           4.263115e+05                  
650                           651                           4.264049e+05                  
651                           652                           4.264982e+05                  
652                           653                           4.265916e+05                  
653                           654                           4.266849e+05                  
654                           655                           4.267781e+05                  
655                           656                           4.268714e+05                  
656                           657                           4.269646e+05                  
657                           658                           4.270578e+05                  
658                           659                           4.271510e+05                  
659                           660                           4.272442e+05                  
660                           661                           4.273373e+05                  
661                           662                           4.274304e+05                  
662                           663                           4.275235e+05                  
663                           664                           4.276166e+05                  
664                           665                           4.277096e+05                  
665                           666                           4.278026e+05                  
666                           667                           4.278956e+05                  
667                           668                           4.279886e+05                  
668                           669                           4.280815e+05                  
669                           670                           4.281745e+05                  
670                           671                           4.282674e+05                  
671                           672                           4.283603e+05                  
672                           673                           4.284532e+05                  
673                           674                           4.285460e+05                  
674                           675                           4.286388e+05                  
675                           676                           4.287317e+05                  
676                           677                           4.288245e+05                  
677                           678                           4.289172e+05                  
678                           679                           4.290100e+05                  
679                           680                           4.291028e+05                  
680                           681                           4.291955e+05                  
